id,description,tags
176,"Living in Oblivion (1995), Comedy",cult film|dreams|love|nudity (topless)|satire
427,"Boxing Helena (1993), Drama, Mystery, Romance, Thriller",bad acting|horror|nudity (topless)|suspense|thriller
1007,"Apple Dumpling Gang, The (1975), Children, Comedy, Western",acting|dialogue|disney|funny|silly
1966,"Metropolitan (1990), Comedy",cerebral|christmas|dialogue driven|drama|intelligent|new york city|philosophy|quotable|witty
1981,"Friday the 13th Part VIII: Jason Takes Manhattan (1989), Horror",cheesy|funny|high school|new york city|serial killer
2034,"Black Hole, The (1979), Children, Sci-Fi",acting|bad science|dialogue|disney|robots|silly|space|space travel
2163,"Attack of the Killer Tomatoes! (1978), Comedy, Horror",bad acting|based on a book|cult film|funny|musical|parody|sci-fi
2696,"Dinner Game, The (Dîner de cons, Le) (1998), Comedy",classic|clever|comedy|dialogue driven|epic|funny|good acting|good dialogue|hilarious|paris|witty
3066,"Tora! Tora! Tora! (1970), Action, Drama, War",history|japan|military|war|world war ii
3074,"Jeremiah Johnson (1972), Western",atmospheric|based on a book|gritty|revenge|survival
3420,"...And Justice for All (1979), Drama, Thriller",al pacino|comedy|corruption|crime|drama|satire|suspense
3528,"Prince of Tides, The (1991), Drama, Romance",based on a book|gay|intense|memory|mental illness|new york city|rape
3831,"Saving Grace (2000), Comedy",british|british comedy|comedy|drugs|england
4167,"15 Minutes (2001), Thriller",death|detective|humorous|new york city|nudity (topless)|prison|revenge|suspense|violence
4329,"Rio Bravo (1959), Western",atmospheric|humorous|murder|quirky|tense|western
4427,"Lion in Winter, The (1968), Drama",anthony hopkins|christmas|england|father-son relationship|gay|great acting|great dialogue|great performances|historical|history|intelligent|witty
5027,"Another 48 Hrs. (1990), Action, Comedy, Crime, Drama, Thriller",action|comedy|crime|investigation|nudity (topless)|prison
5222,"Kissing Jessica Stein (2001), Comedy, Romance",cute|gay|new york city|predictable|relationships|sexuality
6650,"Kind Hearts and Coronets (1949), Comedy, Drama",based on a book|black and white|black comedy|british comedy|cliche|comedy|dark comedy|drama|england|family|friendship|humorous|imdb top 250|murder|narrated|plot twist|prison|revenge|satire|satirical|serial killer|storytelling|suicide|witty
187717,"Won't You Be My Neighbor? (2018), Documentary",based on a true story|biography|documentary|emotional|heartwarming|love|tom hanks
502,"Next Karate Kid, The (1994), Action, Children, Romance",coming of age|high school|martial arts|revenge|romance|teen
1963,"Take the Money and Run (1969), Comedy, Crime",absurd|black comedy|dark comedy|funny|mockumentary|narrated|prison|satire
2022,"Last Temptation of Christ, The (1988), Drama",based on a book|controversial|epic|long|love|martin scorsese|memory|murder|nudity (topless)|religion|slow|soundtrack|storytelling|surrealism|violence
3152,"Last Picture Show, The (1971), Drama",bittersweet|black and white|christmas|coming of age|death|friendship|gay|high school|love|nudity (topless)|reflective|sexuality|twist ending
3201,"Five Easy Pieces (1970), Drama",classic|clever|cult film|existentialism|friendship|intellectual|jack nicholson|love|melancholy|nudity (topless)|road trip
3668,"Romeo and Juliet (1968), Drama, Romance",beautiful|drama|love|realistic|romance
4155,"Sweet November (2001), Drama, Romance",cliche|drama|keanu reeves|love|quirky|sad|twist ending
4255,"Freddy Got Fingered (2001), Comedy",absurd|boring|funny|surreal|surrealism|weird|witty
4678,"UHF (1989), Comedy",cult film|fun|funny|parody|quirky|satire|weird
8607,"Tokyo Godfathers (2003), Adventure, Animation, Drama",anime|black comedy|car chase|christmas|comedy|dark comedy|drama|family|funny|japan|multiple storylines|overrated|social commentary|surrealism
8633,"Last Starfighter, The (1984), Action, Adventure, Comedy, Sci-Fi",1980s|aliens|bad acting|cheesy|space
32017,"Pacifier, The (2005), Action, Comedy",action|disney|espionage|family|predictable|spy
45442,"Poseidon (2006), Action, Adventure, Thriller, IMAX",boring|predictable|remake|survival|suspense|unrealistic
49932,"Inland Empire (2006), Drama, Mystery, Thriller",atmospheric|boring|cinematography|confusing|dark|disturbing|dreamlike|long|mindfuck|murder|nudity (topless)|slow|stylized|surreal|unique|weird
85412,"Troll Hunter, The (Trolljegeren) (2010), Fantasy, Horror",action|adventure|atmospheric|bad acting|boring|comedy|conspiracy|fantasy|horror|mindfuck|mockumentary|mythology|original|religion
90430,"Carnage (2011), Comedy, Drama",acting|dark comedy|dialogue|dialogue driven|drama|ensemble cast|good acting|psychological|psychology|satire|satirical|social commentary
113348,"Teenage Mutant Ninja Turtles (2014), Action, Adventure, Comedy",action|comic book|conspiracy|fun|martial arts|new york city|plot holes|remake|silly|superhero|surprise ending|violence
135141,"Allegiant: Part 1 (2016), Adventure, Sci-Fi",action|bad science|based on a book|conspiracy|corruption|dystopia|futuristic|martial arts|memory|plot holes|plot twist|predictable|revenge|sequel|social commentary|surrealism|technology|violence
141866,"Green Room (2015), (no genres listed)",action|atmospheric|cheesy|cinematography|confusing|drugs|gore|murder|music|revenge|stylish|stylized|survival|suspense|thriller|violence|war
275245,"Nope (2022), Horror, Mystery, Sci-Fi, Thriller",aliens|black comedy|confusing|creepy|dark comedy|dark humor|horror|long|mystery|psychological thriller|satire|sci-fi|surrealism|suspenseful|thriller|unique|western
267,"Major Payne (1995), Comedy",classic|comedy|cult film|funny|hilarious|martial arts|military|remake|violence
1241,"Dead Alive (Braindead) (1992), Comedy, Fantasy, Horror",absurd|black comedy|cult classic|cult film|dark comedy|disturbing|funny|gore|hilarious|horror|murder|zombies
2450,"Howard the Duck (1986), Adventure, Comedy, Sci-Fi",1980s|action|aliens|alternate reality|apocalypse|cheesy|comic book|cult classic|cult film|fun|funny|martial arts|marvel|sci-fi|silly|superhero
2966,"Straight Story, The (1999), Adventure, Drama",acting|based on a true story|biography|boring|disney|family|imdb top 250|inspirational|road trip|slow
